,log_val,accuracy_val,f_1,recall,precision,auc,model,project
0,0.6824124278919461,0.5607388404309902,0.5169386327216918,0.45204073577011133,0.6035945817741001,0.5652534062331382,Base_BTC_LB_10,models
1,0.6851624084584369,0.5581710363926432,0.5823944463411858,0.6041199386140952,0.5621773041854333,0.5572353486301018,Base_ETH_LB_10,models
2,0.7023967826441085,0.5682373472949389,0.533569923477875,0.4750019745675697,0.608612052825988,0.5721030486103896,Base_BTC_LB_30,models
3,0.6849608812307809,0.5557362730038252,0.5855111560726128,0.6156118891449507,0.5582167925842576,0.554550016325762,Base_ETH_LB_30,models
4,0.6764999388287664,0.5710323574730355,0.5400070497003878,0.48427374743164214,0.6102370045807608,0.5746356968424526,Base_BTC_LB_60,models
5,0.6896104340552062,0.5417684121672546,0.5783399911229472,0.616658778987222,0.5445048056832428,0.5403020949709578,Base_ETH_LB_60,models
0,0.6905478744163502,0.5580040215027289,0.5086222627737227,0.439941598926683,0.602713806898043,0.5629140376237108,Feature_selected_BTC,models
1,0.6934189489184315,0.5429520361449388,0.5540796963946869,0.5536433113587306,0.5545167698959916,0.5426693215270311,Feature_selected_ETH,models
0,0.6881365221160812,0.5517085684966649,0.5751298360273094,0.5835635904318307,0.5669363807186409,0.5503855316957581,Autoencoder_BTC,models
1,0.6909533455662443,0.5386050991842509,0.5650397275822929,0.5876519891394169,0.5441031806754837,0.537606325056839,Autoencoder_ETH,models
